Num,ABC-Compound,NA (atom/unit),NB  (atom/unit),NC (atom/unit),N( atom/unit),Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA(pm),rB(pm),rC(pm),rCA(pm),rCB(pm),rCC(pm),XA,XB,XC,Ave_X,Std.Dev.Pauling Electronegativity,a (Å/uint),c (Å/unit),Ave_Mass (g/mol),A-C (Å),B-C (Å),ABS(IpCOHP)-AC (eV),ABS(IpCOHP)-BC (eV),Ave_Bondlength (Å),Ave_IpCOHP (eV),HSE_Band Gap (eV),LVB-window,LCB-Window,B (Gpa),Average-mh*,Anisotropy-mh*,VB-Extrema-0.1eV,1.00E+18,1E18-Pockets,1.00E+19,1E19-Pockets,1.00E+20,1E20-Pockets,1.00E+21,VB-dos-at-0.1 (states/atom),Average-me*,Anisotropy-me*,CB-Extrema-0.1eV,-1.00E+18,#NAME?,-1.00E+19,#NAME?,-1.00E+20,#NAME?,-1.00E+21,CB-dos-at-0.1  (states/atom),Time (fs),K_cal 100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,K_min,K_diff,N_optimal (1e20 cm-3)_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,Type,ZT_max_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
1,GeAsSe,1,2,4,7,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37,0.22,3.82,37.787,76.9,2.756,2.722,1.99,1.93,2.739,1.959,0.89,0.67,1.2,51.14,0.62,2.66,4,-0.04,0,-0.049,0,-0.091,0,-0.2,0.091,0.21,3.24,1,0.421,1,0.484,4,0.599,5,0.81,0.005,10,2.15,1.45,1.1,0.88,0.74,0.63,0.55,0.49,0.44,0.4,0.37,0.34,0.62,0.39,0.27,0.35,0.4,0.44,0.47,0.5,0.56,0.6,0.66,0.7,0.56,0.59,P,0.02,0.08,0.166,0.267,0.365,0.456,0.512,0.558,0.597,0.632,0.718,0.739
2,GeAsTe,1,2,4,7,4S2P2,4S2P3,5S2P4,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12,0.05,4.073,40.022,104.69,2.927,2.905,1.88,1.73,2.916,1.803,0.75,0.78,0.88,48.6,0.18,1.36,6,-0.021,0,-0.047,0,-0.116,0,-0.271,0.071,0.07,1.17,2,0.206,0,0.254,0,0.335,2,0.471,0.017,10,3.07,2.07,1.56,1.25,1.04,0.9,0.78,0.7,0.63,0.57,0.52,0.48,0.52,0.33,-3.08,-3.03,-2.99,-2.95,-2.82,0.28,0.29,-0.23,-0.25,-0.25,-0.26,-0.29,N,0.03,0.07,0.127,0.188,0.249,0.325,0.403,0.489,0.566,0.632,0.687,0.722
3,GeBiSe,1,2,4,7,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32,0.26,4.076,38.745,115.2,2.812,2.958,1.83,1.71,2.885,1.773,0.87,0.63,1.37,35.72,0.2,1.41,1,-0.049,0,-0.105,0,-0.233,1,-0.379,0.003,0.18,1.79,1,0.328,1,0.395,1,0.58,3,0.897,0.002,10,2.54,1.69,1.27,1.02,0.85,0.73,0.64,0.57,0.51,0.46,0.42,0.39,0.47,0.3,11.04,1.76,1.69,1.66,1.67,1.62,1.56,1.47,1.32,1.14,1.01,0.88,P,0.02,0.049,0.105,0.174,0.246,0.317,0.384,0.446,0.504,0.556,0.598,0.636
4,GeBiTe,1,2,4,7,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.283,41.826,143,2.966,3.147,1.77,1.57,3.056,1.671,1.03,0.73,0.63,36.7,0.2,4.39,1,-0.062,0,-0.116,0,-0.199,0,-0.358,0.004,0.23,3.48,5,0.592,8,0.622,8,0.669,11,0.779,0.047,10,2.63,1.77,1.33,1.07,0.89,0.76,0.67,0.59,0.53,0.49,0.45,0.41,0.4,0.25,-2.57,-2.41,-1.95,-1.42,-1.01,-0.79,-0.67,-0.6,-0.57,-0.54,-0.52,-0.5,N,0.03,0.099,0.196,0.304,0.411,0.506,0.583,0.647,0.697,0.734,0.766,0.792
5,GeSbSe,1,2,4,7,4S2P2,5S2P3,4S2P4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33,0.25,4.004,38.481,90.28,2.798,2.887,1.85,1.81,2.842,1.829,0.55,1.04,1.36,47.13,0.09,3.11,1,-0.06,1,-0.132,1,-0.266,3,-0.432,0.001,0.08,2.43,1,0.052,1,0.136,1,0.308,1,0.578,0.001,10,2.69,1.82,1.38,1.1,0.92,0.79,0.69,0.62,0.56,0.5,0.46,0.43,0.53,0.33,-2.7,-2.63,1.68,1.55,1.5,1.44,1.38,1.32,1.26,1.19,1.11,1.04,P,0.01,0.038,0.08,0.141,0.207,0.274,0.337,0.394,0.447,0.492,0.53,0.565
6,GeSbTe,1,2,4,7,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.04,4.224,41.25,118.07,2.958,3.071,1.77,1.66,3.014,1.716,0.61,0.96,0.72,43.52,0.12,3.11,1,-0.048,0,-0.129,0,-0.23,1,-0.435,0.001,0.1,1.17,6,0.252,6,0.277,8,0.327,9,0.47,0.026,10,3.16,2.13,1.61,1.29,1.08,0.92,0.81,0.72,0.65,0.59,0.54,0.5,0.45,0.28,-5.52,-5.66,-5.4,-4.92,-4.26,-3.51,-2.3,-0.62,-0.58,-0.56,-0.53,-0.52,N,0.02,0.074,0.139,0.21,0.282,0.353,0.426,0.518,0.595,0.658,0.707,0.746
7,SiBiTe,1,2,4,7,3S2P2,6S2P3,5S2P4,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.236,41.762,136.64,2.897,3.15,1.9,1.54,3.024,1.719,0.95,0.77,0.52,40.8,0.25,6.57,1,-0.047,0,-0.068,0,-0.141,0,-0.261,0.041,0.14,1,6,0.47,8,0.483,8,0.512,8,0.631,0.193,10,2.1,1.39,1.04,0.84,0.7,0.6,0.52,0.46,0.42,0.38,0.35,0.32,0.41,0.26,-0.39,-0.44,-0.47,-0.47,-0.47,-0.45,-0.44,-0.44,-0.43,-0.43,-0.44,-0.46,N,0.07,0.196,0.351,0.486,0.593,0.673,0.733,0.777,0.808,0.827,0.84,0.851
8,SiSbTe,1,2,4,7,3S2P2,5S2P3,5S2P4,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08,0.05,4.182,41.16,111.71,2.887,3.073,1.91,1.63,2.98,1.772,0.45,0.88,0.67,42.86,0.11,2.58,1,-0.107,1,-0.201,1,-0.278,1,-0.441,0.001,0.08,1.42,6,0.096,1,0.11,3,0.162,6,0.275,0.031,10,2.47,1.65,1.25,1,0.83,0.71,0.63,0.56,0.5,0.46,0.42,0.39,0.47,0.29,-2.4,-2.6,-2.38,-1.75,-0.62,-0.56,-0.53,-0.51,-0.49,-0.5,-0.52,-0.55,N,0.03,0.087,0.173,0.272,0.388,0.494,0.577,0.644,0.697,0.734,0.758,0.778
9,SnAsSe,1,2,4,7,5S2P2,4S2P3,4S2P4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36,0.23,3.877,38.464,83.48,2.924,2.731,1.76,1.9,2.827,1.83,0.69,0.67,1.25,48.02,0.1,1.1,4,-0.007,0,-0.022,0,-0.072,0,-0.167,0.12,0.19,2.91,1,0.262,1,0.334,1,0.529,5,0.768,0.002,10,1.72,1.16,0.87,0.7,0.58,0.5,0.44,0.39,0.35,0.32,0.29,0.27,0.58,0.36,0.37,0.39,0.41,0.45,0.47,0.54,0.59,0.65,0.53,0.56,0.59,0.63,P,0.02,0.086,0.189,0.305,0.415,0.479,0.531,0.576,0.684,0.711,0.734,0.753
10,SnAsTe,1,2,4,7,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11,0.07,4.132,40.736,111.28,3.104,2.914,1.7,1.7,3.009,1.699,0.68,0.82,0.68,33.89,0.15,1.4,4,-0.047,0,-0.076,0,-0.149,0,-0.339,0.034,0.15,2.05,4,0.239,1,0.27,1,0.306,4,0.401,0.029,10,2.6,1.74,1.31,1.05,0.88,0.75,0.66,0.58,0.53,0.48,0.44,0.4,0.49,0.31,-0.41,-0.49,-0.54,-0.54,-0.53,-0.52,-0.5,-0.49,-0.49,-0.48,-0.51,-0.52,N,0.04,0.129,0.26,0.391,0.501,0.589,0.655,0.708,0.746,0.776,0.794,0.809
11,SnBiSe,1,2,4,7,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.954,2.965,1.72,1.7,2.96,1.708,0.76,0.62,1.42,31.69,0.17,1.28,1,-0.048,0,-0.114,1,-0.195,1,-0.323,0.003,0.15,1.56,1,0.223,1,0.3,1,0.497,2,0.825,0.002,10,3.2,2.13,1.6,1.28,1.07,0.92,0.8,0.71,0.64,0.58,0.54,0.49,0.45,0.28,5.79,1.05,1.01,1.01,0.99,0.99,0.95,0.89,0.84,0.78,0.73,0.68,P,0.01,0.05,0.11,0.183,0.261,0.338,0.41,0.476,0.535,0.587,0.631,0.673
12,SnBiTe,1,2,4,7,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361,42.315,149.58,3.124,3.152,1.67,1.56,3.138,1.612,0.89,0.68,0.74,37.01,0.14,2.07,1,-0.078,0,-0.107,0,-0.189,0,-0.333,0.016,0.16,2.09,1,0.444,5,0.505,6,0.578,11,0.719,0.003,10,2.45,1.64,1.23,0.99,0.82,0.71,0.62,0.55,0.49,0.45,0.41,0.38,0.38,0.24,-0.46,-0.5,-0.55,-0.57,-0.57,-0.57,-0.54,-0.5,-0.46,-0.43,-0.4,-0.38,N,0.02,0.063,0.133,0.219,0.312,0.397,0.474,0.542,0.601,0.648,0.69,0.724
13,SnSbSe,1,2,4,7,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.896,1.71,1.78,2.922,1.749,0.48,0.97,1.38,40.11,0.25,1.29,1,-0.028,1,-0.074,1,-0.177,2,-0.343,0.005,0.2,7.15,1,0.042,1,0.112,1,0.302,2,0.586,0.001,10,2.62,1.75,1.32,1.06,0.88,0.76,0.66,0.59,0.53,0.48,0.44,0.41,0.5,0.32,-1.97,-1.97,1.35,1.26,1.21,1.13,1.02,0.9,0.75,0.61,0.54,0.51,P,0.01,0.042,0.085,0.151,0.224,0.296,0.366,0.43,0.49,0.542,0.584,0.621
