NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,XA,XB,XC,a_Å_uint,c_Å_unit,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,K_min,Temperature,Kpa,N_optimal,ZT
0,0,0,0.25,0,0.5,1,1,0.934782609,0.026101142,0.451470649,0.842105263,0.909090909,0.886462882,0.837209302,0.063291139,0.574626866,0.956323338,0.265116279,0.104554201,0.6,0.609375,0,0,0,0.292207792,0.307832423,0.080808081,0,0.090909091,0.013289037,1,0,0.399606299,0.27,0.02
0,0,0,0.25,0,1,1,1,0,0.438825449,0.497313041,0.649122807,0.454545455,0.545851528,0.674418605,0.202531646,0.335820896,0.873533246,0.060465116,0.021167415,1,0.7578125,0,0,0,0.227272727,0.052823315,0.006132756,0.111111111,0,0.053156146,0.62962963,0,0.580708661,-3.08,0.03
0,0,0,0.25,1,0.5,1,0,0.934782609,0.443719413,0.471120318,0.561403509,0.409090909,0.480349345,0.813953488,0.012658228,0.701492537,0.453715776,0.069767442,0.024374599,0,0.5390625,0,0,0.2,0.006493506,0.253187614,0.028499278,0,0.090909091,0.003322259,0.444444444,0,0.476377953,11.04,0.02
0,0,0,0.25,1,1,1,0,0,0.781402936,0.534315133,0.456140351,0.090909091,0.257641921,1,0.139240506,0.149253731,0.485658409,0.069767442,0.215522771,0,0.4375,0,0,0,0.00974026,0.344262295,0.089466089,0.444444444,0.727272727,0.15282392,0.185185185,0,0.494094488,-2.57,0.03
0,0,0,0.25,0.5,0.5,1,0.1875,0.934782609,0.326264274,0.465705378,0.596491228,0.636363636,0.602620087,0.441860465,0.53164557,0.694029851,0.825619296,0.018604651,0.133418858,0,0.453125,0.5,0.5,0.6,0,0.071038251,0.051587302,0,0.090909091,0,0.666666667,0,0.505905512,-2.7,0.01
0,0,0,0.25,0.5,1,1,0.1875,0,0.685154976,0.522500718,0.456140351,0.295454545,0.355895197,0.511627907,0.430379747,0.21641791,0.707953064,0.03255814,0.133418858,0,0.546875,0,0,0.2,0,0.107468124,0.006132756,0.555555556,0.545454545,0.083056478,0.37037037,0,0.598425197,-5.52,0.02
0,0,0,0,1,1,0.785714286,0,0,0.704730832,0.53300242,0.684210526,0.022727273,0.362445415,0.906976744,0.189873418,0.067164179,0.619295958,0.093023256,0.355355997,0,0.5546875,0,0,0,0.12987013,0.180327869,0,0.555555556,0.727272727,0.637873754,0.222222222,0,0.38976378,-0.39,0.07
0,0,0,0,0.5,1,0.785714286,0.1875,0,0.616639478,0.520654716,0.701754386,0.227272727,0.478165939,0.325581395,0.329113924,0.179104478,0.686440678,0.027906977,0.099422707,0,0.0859375,0.5,0.5,0.2,0,0.071038251,0.015151515,0.555555556,0.090909091,0.099667774,0.444444444,0,0.462598425,-2.4,0.03
0,0,0,0.625,0,0.5,0.642857143,1,0.934782609,0.11908646,0.465356689,0.438596491,0.840909091,0.604803493,0.604651163,0.063291139,0.611940299,0.854628422,0.023255814,0.004490058,0.6,0.8671875,0,0,0,0.386363636,0.27140255,0.068903319,0,0.090909091,0.003322259,0.851851852,0,0.31496063,0.37,0.02
0,0,0,0.625,0,1,0.642857143,1,0,0.535073409,0.511957993,0.333333333,0.386363636,0.318777293,0.593023256,0.253164557,0.186567164,0.394067797,0.046511628,0.023733162,0.6,0.5546875,0,0,0,0.107142857,0.198542805,0.037878788,0.333333333,0.090909091,0.093023256,0.518518519,0,0.488188976,-0.41,0.04
0,0,0,0.625,1,0.5,0.642857143,0,0.934782609,0.54812398,0.482483489,0.368421053,0.386363636,0.338427948,0.686046512,0,0.73880597,0.322359844,0.055813953,0.01603592,0,0.546875,0,0.5,0.2,0.006493506,0.198542805,0.02020202,0,0.090909091,0.003322259,0.37037037,0,0.606299213,5.79,0.01
0,0,0,0.625,1,1,0.642857143,0,0,0.908646003,0.544345079,0.280701754,0.068181818,0.128820961,0.837209302,0.075949367,0.231343284,0.495762712,0.041860465,0.066709429,0,0.3125,0,0,0,0.048701299,0.216757741,0.039321789,0,0.454545455,0.006644518,0.111111111,0,0.458661417,-0.46,0.02
0,0,0,0.625,0.5,0.5,0.642857143,0.1875,0.934782609,0.425774878,0.479550396,0.350877193,0.568181818,0.427947598,0.360465116,0.443037975,0.708955224,0.596805737,0.093023256,0.016677357,0,0.703125,0.5,0.5,0.4,0.012987013,0.289617486,0.221861472,0,0.090909091,0,0.555555556,0,0.492125984,-1.97,0.01
0,0,0,0.625,0.5,1,0.642857143,0.1875,0,0.792822186,0.535689379,0.263157895,0.25,0.209606987,0.465116279,0.481012658,0.23880597,0.370273794,0.013953488,0.001282874,0,0.34375,0,0.5,0.2,0,0.107468124,0.00974026,0,0.090909091,0.009966777,0.296296296,0,0.503937008,-3.39,0.02
