NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,a_?_uint,c_?_unit,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,Temperature,Kpa,N_optimal,Type,ZT
0,0,0,0.25,0,0.5,0.026101142,0.451470649,0.837209302,0.063291139,0.574626866,0.956323338,0.265116279,0.104554201,0.6,0.609375,0,0,0,0.292207792,0.307832423,0.080808081,0,0.090909091,0.013289037,0,0.399606299,0.593073593,0,0.02
0,0,0,0.25,0.5,0.5,0.326264274,0.465705378,0.441860465,0.53164557,0.694029851,0.825619296,0.018604651,0.133418858,0,0.453125,0.5,0.5,0.6,0,0.071038251,0.051587302,0,0.090909091,0,0,0.505905512,0.378787879,0,0.01
0,0,0,0,0.5,1,0.616639478,0.520654716,0.325581395,0.329113924,0.179104478,0.686440678,0.027906977,0.099422707,0,0.0859375,0.5,0.5,0.2,0,0.071038251,0.015151515,0.555555556,0.090909091,0.099667774,0,0.462598425,0.4004329,1,0.03
0,0,0,1,0,0.5,0.182707993,0.471017763,0.848837209,0.151898734,0.649253731,0.967731421,0.176744186,0.050032072,0.4,0.625,0,0,0,0.457792208,0.289617486,0.094516595,0,0.090909091,0,0,0.340551181,0.632756133,0,0.03
0,0,0,1,0,1,0.569331158,0.522808385,0.906976744,0.151898734,0.208955224,0.693937419,0.023255814,0.022450289,0.6,0.609375,0,0,0,0.275974026,0.180327869,0.058441558,0,0.090909091,0.003322259,0,0.460629921,0.477633478,1,0.03
0,1,1,0.25,1,0.5,0.477977162,0.139578291,0.674418605,0.113924051,0.731343284,0.306714472,0.093023256,0.021167415,0,0.7734375,0,0,0.2,0.016233766,0.304189435,0.030880231,0,0.181818182,0.006644518,0,0.513779528,0.777056277,0,0.02
0,1,1,0,0,1,0.383360522,0.150777372,0.38372093,0.569620253,0.485074627,0.704693611,0.08372093,0.003848621,0.6,0.7890625,0,0,0,1,0.136612022,0.001911977,0.444444444,0.454545455,0.408637874,0,0.458661417,0.63997114,1,0.03
0,1,1,0,1,1,0.763458401,0.177975141,0.802325581,0.367088608,0.231343284,0.563233377,0.102325581,0.145606158,0.4,0.4140625,0,0,0,0.029220779,0.411657559,0.048917749,0.222222222,0.636363636,0.093023256,0,0.348425197,0.276334776,1,0.06
0,1,1,0.625,0,1,0.469820555,0.158756205,0.558139535,0.53164557,0.388059701,0.597457627,0.051162791,0.003848621,0.8,0.921875,0,0,0,0.470779221,0.35154827,0.04011544,0.333333333,0.545454545,0.657807309,0,0.429133858,0.028138528,1,0.02
0,1,1,1,1,1,0.908646003,0.18302088,0.790697674,0.417721519,0.395522388,0.343546284,0.08372093,0.07055805,0,0.3984375,0,0,0.2,0.022727273,0.344262295,0.041125541,0,0.272727273,0.016611296,0,0.401574803,0.054112554,1,0.03
0,1,1,1,0.5,1,0.7862969,0.176600894,0.290697674,0.64556962,0.410447761,0.374511082,0.046511628,0.029506094,0,0.2890625,0,0.5,0.2,0.003246753,0.247723133,0.00501443,0,0.090909091,0.009966777,0,0.405511811,0.995670996,1,0.03
0.5,0,0.333333333,0.25,1,0.5,0.398042414,0.008163433,0.604651163,0.544303797,0.947761194,0.789765319,0.060465116,0.051314945,0,0.2578125,0,0,0.2,0.006493506,0.234972678,0.048701299,0,0.090909091,0.006644518,0,0.295275591,0.992063492,0,0.03
