NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0,0,0,0.25,0,0.5,0.026101142,0.451470649,0.009049774,0.011389522,0,0,0.02
0,0,0,0.25,0,1,0.438825449,0.497313041,0.395927602,0.428246014,0,1,0.03
0,0,0,0.25,1,0.5,0.443719413,0.471120318,0.135746606,0.548974943,0,0,0.02
0,0,0,0.25,1,1,0.781402936,0.534315133,0.484162896,0.979498861,0,1,0.03
0,0,0,0.25,0.5,0.5,0.326264274,0.465705378,0.104072398,0.387243736,0,1,0.01
0,0,0,0.25,0.5,1,0.685154976,0.522500718,0.466063348,0.806378132,0,1,0.02
0,0,0,0,1,1,0.704730832,0.53300242,0.328054299,0.986332574,0,1,0.07
0,0,0,0,0.5,1,0.616639478,0.520654716,0.305429864,0.810933941,0,1,0.03
0,0,0,0.625,0,0.5,0.11908646,0.465356689,0.389140271,0.031890661,0,0,0.02
0,0,0,0.625,0,1,0.535073409,0.511957993,0.79638009,0.448747153,0,1,0.04
0,0,0,0.625,1,0.5,0.54812398,0.482483489,0.457013575,0.564920273,0,0,0.01
0,0,0,0.625,1,1,0.908646003,0.544345079,0.841628959,0.990888383,0,1,0.02
0,0,0,0.625,0.5,0.5,0.425774878,0.479550396,0.441176471,0.407744875,0,1,0.01
0,0,0,0.625,0.5,1,0.792822186,0.535689379,0.830316742,0.820045558,0,1,0.02
0,0,0,1,0,0.5,0.182707993,0.471017763,0.576923077,0.036446469,0,0,0.03
0,0,0,1,0,1,0.569331158,0.522808385,0.99321267,0.439635535,0,1,0.03
0,0,0,1,1,0.5,0.598694943,0.486011404,0.608597285,0.562642369,0,0,0.02
0,0,0,1,1,1,0.942903752,0.551708578,0.995475113,0.981776765,0,1,0.02
0,0,0,1,0.5,1,0.836867863,0.542622144,1,0.815489749,0,1,0.02
0,1,1,0.25,0,0.5,0,0.125569184,0,0,0,0,0.03
0,1,1,0.25,0,1,0.417618271,0.151987529,0.386877828,0.419134396,0,1,0.02
0,1,1,0.25,1,0.5,0.477977162,0.139578291,0.14479638,0.546697039,0,0,0.02
0,1,1,0.25,1,1,0.814029364,0.176990606,0.495475113,0.972665148,0,1,0.03
0,1,1,0.25,0.5,0.5,0.340946166,0.136275998,0.108597285,0.387243736,0,0,0.02
0,1,1,0.25,0.5,1,0.696574225,0.169996308,0.468325792,0.804100228,0,1,0.02
0,1,1,0,0,1,0.383360522,0.150777372,0.21040724,0.419134396,0,0,0.03
0,1,1,0,1,1,0.763458401,0.177975141,0.35520362,0.970387244,0,1,0.06
0,1,1,0,0.5,1,0.655791191,0.169442507,0.321266968,0.804100228,0,1,0.04
0,1,1,0.625,0,1,0.469820555,0.158756205,0.780542986,0.428246014,0,1,0.02
0,1,1,0.625,1,0.5,0.535073409,0.142819051,0.450226244,0.555808656,0,0,0.01
0,1,1,0.625,1,1,0.884176183,0.180621077,0.828054299,0.979498861,0,1,0.03
0,1,1,0.625,0.5,0.5,0.396411093,0.140255159,0.432126697,0.398633257,0,1,0.01
0,1,1,0.625,0.5,1,0.76182708,0.174488247,0.819004525,0.813211845,0,1,0.03
0,1,1,1,1,0.5,0.566068515,0.143947163,0.604072398,0.553530752,0,1,0.02
0,1,1,1,1,1,0.908646003,0.18302088,0.984162896,0.977220957,0,1,0.03
0,1,1,1,0.5,0.5,0.432300163,0.141567871,0.599547511,0.398633257,0,1,0.02
0,1,1,1,0.5,1,0.7862969,0.176600894,0.99321267,0.810933941,0,0,0.03
0.5,0,0.333333333,0.25,0,0.5,0.066884176,0,0.024886878,0.022779043,0,0,0.06
0.5,0,0.333333333,0.25,1,0.5,0.398042414,0.008163433,0.128959276,0.54214123,0,0,0.03
0.5,0,0.333333333,0.25,1,1,0.737357259,0.033228043,0.484162896,0.974943052,0,1,0.04
0.5,0,0.333333333,0.25,0.5,0.5,0.303425775,0.005394429,0.104072398,0.382687927,0,0,0.03
0.5,0,0.333333333,0.25,0.5,1,0.668841762,0.028346392,0.466063348,0.804100228,0,1,0.02
0.5,0,0.333333333,0,1,1,0.616639478,0.033043443,0.309954751,0.986332574,0,1,0.04
0.5,0,0.333333333,0,0.5,1,0.562805873,0.026951635,0.29638009,0.808656036,0,1,0.05
0.5,0,0.333333333,0.625,0,0.5,0.215334421,0.011527259,0.391402715,0.063781321,0,0,0.08
0.5,0,0.333333333,0.625,0,1,0.629690049,0.030787217,0.794117647,0.478359909,0,1,0.07
0.5,0,0.333333333,0.625,1,0.5,0.567699837,0.015957665,0.470588235,0.569476082,0,1,0.01
0.5,0,0.333333333,0.625,1,1,0.934747145,0.040345408,0.852941176,0.997722096,0,1,0.02
0.5,0,0.333333333,0.625,0.5,0.5,0.468189233,0.014193707,0.452488688,0.419134396,0,0,0.02
0.5,0,0.333333333,0.625,0.5,1,0.84502447,0.038335316,0.834841629,0.833712984,0,1,0.03
0.5,0,0.333333333,1,0,0.5,0.32137031,0.012532305,0.57239819,0.086560364,0,0,0.04
0.5,0,0.333333333,1,0,1,0.686786297,0.035894491,0.977375566,0.478359909,0,1,0.02
0.5,0,0.333333333,1,1,0.5,0.649265905,0.018501046,0.617647059,0.576309795,0,0,0.02
0.5,0,0.333333333,1,1,1,1,0.04381179,1,0.990888383,0,1,0.02
0.5,0,0.333333333,1,0.5,0,0.360522023,0.00451245,0.393665158,0.173120729,0,0,0.03
0.5,0,0.333333333,1,0.5,0.5,0.553017945,0.017229356,0.608597285,0.425968109,0,1,0.01
