Index,A1B2C4,c
1,GeAsSe,37.787
2,GeAsTe,40.022
3,GeBiSe,38.745
4,GeBiTe,41.826
5,GeSbSe,38.481
6,GeSbTe,41.25
7,SiBiTe,41.762
8,SiSbTe,41.16
9,SnAsSe,38.464
10,SnAsTe,40.736
11,SnBiSe,39.299
12,SnBiTe,42.315
13,SnSbSe,39.156
14,SnSbTe,41.893
15,PbAsSe,38.74
16,PbAsTe,41.265
17,PbBiSe,39.471
18,PbBiTe,42.674
19,PbSbTe,42.231
20,GeAsSe,21.898
21,GeAsTe,23.186
22,GeBiSe,22.581
23,GeBiTe,24.405
24,GeSbSe,22.42
25,GeSbTe,24.064
26,SiAsTe,23.127
27,SiBiTe,24.453
28,SiSbTe,24.037
29,SnAsTe,23.516
30,SnBiSe,22.739
31,SnBiTe,24.582
32,SnSbSe,22.614
33,SnSbTe,24.283
34,PbBiSe,22.794
35,PbBiTe,24.699
36,PbSbSe,22.678
37,PbSbTe,24.386
38,GeAsSe,15.776
39,GeBiSe,16.174
40,GeBiTe,17.396
41,GeSbSe,16.039
42,GeSbTe,17.158
43,SiBiTe,17.387
44,SiSbTe,17.09
45,SnAsSe,16.338
46,SnAsTe,17.277
47,SnBiSe,16.554
48,SnBiTe,17.743
49,SnSbSe,16.468
50,SnSbTe,17.645
51,PbAsSe,16.387
52,PbAsTe,17.526
53,PbBiSe,16.678
54,PbBiTe,17.912
55,PbSbS,15.996
56,PbSbSe,16.616
57,PbSbTe,17.785
58,GeAsSe,57.053
59,GeBiTe,62.482
60,GeSbTe,61.831
61,SnAsSe,59.271
62,SnAsTe,62.723
63,SnBiSe,59.855
64,SnBiTe,64.092
65,SnSbSe,59.778
66,SnSbTe,63.743
67,PbAsTe,63.71
68,PbBiSe,60.471
69,PbSbSe,60.309
70,PbSbTe,64.53
