Index,NA,NB ,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a/b,c,MAv,LAC,LBC,LAv,nop (100K),nop (150K),nop (200K),nop (250K),nop (300K),nop (350K),nop (400K),nop (450K),nop (500K),nop (550K),nop (600K),nop (650K),100 K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
1,1,2,4,7,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37 ,0.22 ,3.82,37.787,76.9,2.756 ,2.722 ,2.739 ,0.27 ,0.35 ,0.40 ,0.44 ,0.47 ,0.50 ,0.56 ,0.60 ,0.66 ,0.70 ,0.56 ,0.59 ,0.02 ,0.08 ,0.17 ,0.27 ,0.37 ,0.46 ,0.51 ,0.56 ,0.60 ,0.63 ,0.72 ,0.74 
2,1,2,4,7,4S2P2,4S2P3,5S2P4,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12 ,0.05 ,4.073,40.022,104.69,2.927 ,2.905 ,2.916 ,-3.08 ,-3.03 ,-2.99 ,-2.95 ,-2.82 ,0.28 ,0.29 ,-0.23 ,-0.25 ,-0.25 ,-0.26 ,-0.29 ,0.03 ,0.07 ,0.13 ,0.19 ,0.25 ,0.33 ,0.40 ,0.49 ,0.57 ,0.63 ,0.69 ,0.72 
3,1,2,4,7,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32 ,0.26 ,4.076,38.745,115.2,2.812 ,2.958 ,2.885 ,11.04 ,1.76 ,1.69 ,1.66 ,1.67 ,1.62 ,1.56 ,1.47 ,1.32 ,1.14 ,1.01 ,0.88 ,0.02 ,0.05 ,0.11 ,0.17 ,0.25 ,0.32 ,0.38 ,0.45 ,0.50 ,0.56 ,0.60 ,0.64 
4,1,2,4,7,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08 ,0.05 ,4.283,41.826,143,2.966 ,3.147 ,3.056 ,-2.57 ,-2.41 ,-1.95 ,-1.42 ,-1.01 ,-0.79 ,-0.67 ,-0.60 ,-0.57 ,-0.54 ,-0.52 ,-0.50 ,0.03 ,0.10 ,0.20 ,0.30 ,0.41 ,0.51 ,0.58 ,0.65 ,0.70 ,0.73 ,0.77 ,0.79 
5,1,2,4,7,4S2P2,5S2P3,4S2P4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33 ,0.25 ,4.004,38.481,90.28,2.798 ,2.887 ,2.842 ,-2.70 ,-2.63 ,1.68 ,1.55 ,1.50 ,1.44 ,1.38 ,1.32 ,1.26 ,1.19 ,1.11 ,1.04 ,0.01 ,0.04 ,0.08 ,0.14 ,0.21 ,0.27 ,0.34 ,0.39 ,0.45 ,0.49 ,0.53 ,0.57 
6,1,2,4,7,4S2P2,5S2P3,5S2P4,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08 ,0.04 ,4.224,41.25,118.07,2.958 ,3.071 ,3.014 ,-5.52 ,-5.66 ,-5.40 ,-4.92 ,-4.26 ,-3.51 ,-2.30 ,-0.62 ,-0.58 ,-0.56 ,-0.53 ,-0.52 ,0.02 ,0.07 ,0.14 ,0.21 ,0.28 ,0.35 ,0.43 ,0.52 ,0.60 ,0.66 ,0.71 ,0.75 
7,1,2,4,7,3S2P2,6S2P3,5S2P4,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07 ,0.06 ,4.236,41.762,136.64,2.897 ,3.150 ,3.024 ,-0.39 ,-0.44 ,-0.47 ,-0.47 ,-0.47 ,-0.45 ,-0.44 ,-0.44 ,-0.43 ,-0.43 ,-0.44 ,-0.46 ,0.07 ,0.20 ,0.35 ,0.49 ,0.59 ,0.67 ,0.73 ,0.78 ,0.81 ,0.83 ,0.84 ,0.85 
8,1,2,4,7,3S2P2,5S2P3,5S2P4,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08 ,0.05 ,4.182,41.16,111.71,2.887 ,3.073 ,2.980 ,-2.40 ,-2.60 ,-2.38 ,-1.75 ,-0.62 ,-0.56 ,-0.53 ,-0.51 ,-0.49 ,-0.50 ,-0.52 ,-0.55 ,0.03 ,0.09 ,0.17 ,0.27 ,0.39 ,0.49 ,0.58 ,0.64 ,0.70 ,0.73 ,0.76 ,0.78 
9,1,2,4,7,5S2P2,4S2P3,4S2P4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36 ,0.23 ,3.877,38.464,83.48,2.924 ,2.731 ,2.827 ,0.37 ,0.39 ,0.41 ,0.45 ,0.47 ,0.54 ,0.59 ,0.65 ,0.53 ,0.56 ,0.59 ,0.63 ,0.02 ,0.09 ,0.19 ,0.31 ,0.42 ,0.48 ,0.53 ,0.58 ,0.68 ,0.71 ,0.73 ,0.75 
10,1,2,4,7,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11 ,0.07 ,4.132,40.736,111.28,3.104 ,2.914 ,3.009 ,-0.41 ,-0.49 ,-0.54 ,-0.54 ,-0.53 ,-0.52 ,-0.50 ,-0.49 ,-0.49 ,-0.48 ,-0.51 ,-0.52 ,0.04 ,0.13 ,0.26 ,0.39 ,0.50 ,0.59 ,0.66 ,0.71 ,0.75 ,0.78 ,0.79 ,0.81 
11,1,2,4,7,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31 ,0.27 ,4.14,39.299,121.79,2.954 ,2.965 ,2.960 ,5.79 ,1.05 ,1.01 ,1.01 ,0.99 ,0.99 ,0.95 ,0.89 ,0.84 ,0.78 ,0.73 ,0.68 ,0.01 ,0.05 ,0.11 ,0.18 ,0.26 ,0.34 ,0.41 ,0.48 ,0.54 ,0.59 ,0.63 ,0.67 
12,1,2,4,7,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07 ,0.06 ,4.361,42.315,149.58,3.124 ,3.152 ,3.138 ,-0.46 ,-0.50 ,-0.55 ,-0.57 ,-0.57 ,-0.57 ,-0.54 ,-0.50 ,-0.46 ,-0.43 ,-0.40 ,-0.38 ,0.02 ,0.06 ,0.13 ,0.22 ,0.31 ,0.40 ,0.47 ,0.54 ,0.60 ,0.65 ,0.69 ,0.72 
13,1,2,4,7,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32 ,0.26 ,4.065,39.156,96.86,2.947 ,2.896 ,2.922 ,-1.97 ,-1.97 ,1.35 ,1.26 ,1.21 ,1.13 ,1.02 ,0.90 ,0.75 ,0.61 ,0.54 ,0.51 ,0.01 ,0.04 ,0.09 ,0.15 ,0.22 ,0.30 ,0.37 ,0.43 ,0.49 ,0.54 ,0.58 ,0.62 
14,1,2,4,7,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08 ,0.06 ,4.29,41.893,124.66,3.119 ,3.077 ,3.098 ,-3.39 ,-2.48 ,-1.63 ,-1.34 ,-1.11 ,-0.91 ,-0.77 ,-0.67 ,-0.59 ,-0.53 ,-0.49 ,-0.48 ,0.02 ,0.07 ,0.15 ,0.25 ,0.35 ,0.45 ,0.52 ,0.59 ,0.65 ,0.69 ,0.73 ,0.76 
15,1,2,4,7,6S2P2,4S2P3,4S2P4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35 ,0.25 ,3.916,38.74,96.13,3.007 ,2.733 ,2.870 ,0.82 ,0.91 ,0.99 ,0.99 ,0.97 ,0.96 ,0.96 ,1.00 ,1.03 ,0.81 ,0.81 ,0.81 ,0.03 ,0.08 ,0.16 ,0.25 ,0.35 ,0.43 ,0.48 ,0.52 ,0.56 ,0.66 ,0.68 ,0.70 
16,1,2,4,7,6S2P2,4S2P3,5S2P4,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.10 ,0.10 ,4.153,41.265,123.92,3.191 ,2.910 ,3.050 ,-1.33 ,-1.08 ,-0.91 ,-0.89 ,-0.85 ,-0.81 ,-0.75 ,-0.69 ,-0.61 ,-0.54 ,-0.51 ,-0.49 ,0.03 ,0.10 ,0.21 ,0.32 ,0.42 ,0.50 ,0.56 ,0.62 ,0.67 ,0.71 ,0.74 ,0.76 
17,1,2,4,7,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.30 ,0.29 ,4.171,39.471,134.43,3.021 ,2.964 ,2.993 ,2.42 ,2.38 ,2.33 ,2.29 ,2.28 ,2.27 ,2.28 ,2.24 ,2.17 ,2.09 ,1.96 ,1.80 ,0.02 ,0.05 ,0.10 ,0.15 ,0.21 ,0.27 ,0.32 ,0.38 ,0.43 ,0.48 ,0.52 ,0.56 
18,1,2,4,7,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06 ,0.09 ,4.382,42.674,162.22,3.192 ,3.148 ,3.170 ,-0.68 ,-0.63 ,-0.66 ,-0.68 ,-0.68 ,-0.66 ,-0.63 ,-0.56 ,-0.50 ,-0.44 ,-0.39 ,-0.36 ,0.02 ,0.06 ,0.12 ,0.21 ,0.29 ,0.37 ,0.45 ,0.51 ,0.57 ,0.62 ,0.66 ,0.70 
