Index,NA,NB,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a_b,c,MAv,LAC,LBC,SAC,SBC,LAv,SAv,Temperature,Nop,ZT
1,1,2,4,7,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37,0.22,3.82,37.787,76.9,2.7560000000000002,2.722,1.99,1.93,2.739,1.959,100,0,0.02
2,1,2,4,7,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12,0.05,4.073,40.022,104.69,2.927,2.905,1.88,1.73,2.9160000000000004,1.8030000000000002,100,1,0.03
3,1,2,4,7,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32,0.26,4.0760000000000005,38.745,115.2,2.812,2.958,1.83,1.71,2.885,1.7730000000000001,100,0,0.02
4,1,2,4,7,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.283,41.826,143.0,2.966,3.147,1.77,1.57,3.056,1.671,100,1,0.03
5,1,2,4,7,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33,0.25,4.004,38.481,90.28,2.798,2.887,1.85,1.81,2.842,1.829,100,1,0.01
6,1,2,4,7,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.04,4.224,41.25,118.07,2.958,3.071,1.77,1.66,3.014,1.716,100,1,0.02
7,1,2,4,7,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.236000000000001,41.762,136.64,2.897,3.15,1.9,1.54,3.0239999999999996,1.719,100,1,0.07
8,1,2,4,7,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08,0.05,4.1819999999999995,41.16,111.71,2.887,3.073,1.91,1.63,2.98,1.7719999999999998,100,1,0.03
9,1,2,4,7,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36,0.23,3.877,38.464,83.48,2.924,2.7310000000000003,1.76,1.9,2.827,1.83,100,0,0.02
10,1,2,4,7,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11,0.07,4.132,40.736,111.28,3.1039999999999996,2.9139999999999997,1.7,1.7,3.009,1.699,100,1,0.04
11,1,2,4,7,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.9539999999999997,2.965,1.72,1.7,2.96,1.7080000000000002,100,0,0.01
12,1,2,4,7,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361000000000001,42.315,149.58,3.1239999999999997,3.1519999999999997,1.67,1.56,3.138,1.6119999999999999,100,1,0.02
13,1,2,4,7,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.8960000000000004,1.71,1.78,2.9219999999999997,1.749,100,1,0.01
14,1,2,4,7,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.1189999999999998,3.077,1.66,1.64,3.0980000000000003,1.649,100,1,0.02
15,1,2,4,7,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.9160000000000004,38.74,96.13,3.0069999999999997,2.733,1.58,1.91,2.87,1.742,100,0,0.03
16,1,2,4,7,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.1530000000000005,41.265,123.92,3.1910000000000003,2.91,1.51,1.72,3.05,1.618,100,1,0.03
