   Label       Predict
0.3660000     0.3400616
0.6280000     0.6703557
0.4500000     0.4587737
0.4150000     0.4317868
0.0900000     -0.0148975
0.0630000     -0.0531231
0.2220000     0.1915200
0.0200000     -0.1168011
0.3500000     0.3254780
0.3950000     0.3912655
0.2670000     0.2412625
0.3950000     0.3710363
0.8370000     0.9367999
0.0800000     -0.0293048
0.1210000     0.0220110
0.3330000     0.3144293
0.0950000     -0.0106060
0.0700000     -0.0403578
0.1510000     0.0753108
0.0200000     -0.1161891
0.6460000     0.6967825
0.5300000     0.5557678
0.6470000     0.6993890
0.8310000     0.9282594
0.3730000     0.3795719
0.5150000     0.5448765
0.5750000     0.6109815
0.6730000     0.7250973
0.0300000     -0.1111353
0.2060000     0.1416861
0.3610000     0.3601671
0.6670000     0.7205532
0.0800000     -0.0301352
0.3490000     0.3283866
0.2500000     0.2189003
0.0550000     -0.0713378
0.0740000     -0.0458340
0.1540000     0.0920894
0.7660000     0.8300722
0.0700000     -0.0394593
0.7530000     0.8352669
0.1200000     0.0369745
0.3260000     0.3072390
0.3910000     0.3686597
0.3840000     0.3563836
0.6460000     0.6798707
0.5010000     0.5294349
0.5990000     0.6224073
0.2890000     0.2429516
0.2730000     0.2641988
0.0300000     -0.1034923
0.5910000     0.6365241
0.7580000     0.8359824
0.3300000     0.3484240
0.3730000     0.3573202
0.2610000     0.2524097
0.0200000     -0.1033162
0.6970000     0.7454389
0.2490000     0.2177693
0.7890000     0.8631449
0.3380000     0.3194581
0.5970000     0.6165745
0.2100000     0.1529574
0.4270000     0.4444095
0.0400000     -0.0941567
0.0300000     -0.1004620
0.0300000     -0.1143115
0.6510000     0.7004372
0.5860000     0.6093163
0.1030000     0.0197131
0.2570000     0.1999760
0.7020000     0.7645262
0.1050000     0.0108302
0.5860000     0.6000502
0.0610000     -0.0635209
0.7340000     0.7978973
0.7070000     0.7690581
0.6600000     0.7196987
0.0300000     -0.1183658
0.3230000     0.3014450
0.6550000     0.7039115
0.4080000     0.4184294
0.7770000     0.8540598
0.3550000     0.3548694
0.0400000     -0.0876102
0.0200000     -0.1218632
0.3110000     0.3003359
0.7940000     0.8785720
0.0990000     0.0053827
0.3880000     0.3912971
0.6840000     0.7260822
0.0550000     -0.0701542
0.7370000     0.8110151
0.0600000     -0.0460737
0.7510000     0.8273683
0.0300000     -0.1078331
0.8100000     0.9060564
0.1410000     0.0509086
0.7040000     0.7542837
0.2610000     0.2359374
0.6110000     0.6304766
0.7920000     0.8821325
0.1660000     0.1060624
0.4660000     0.4644139
0.1650000     0.1211216
0.4110000     0.4168222
0.2610000     0.2193158
0.1240000     0.0501650
0.1640000     0.1099247
0.3430000     0.3184713
0.3820000     0.3734991
0.0980000     -0.0018606
0.0640000     -0.0484889
0.1810000     0.1193600
0.6690000     0.7177837
0.5530000     0.5665003
0.8520000     0.9496505
0.6470000     0.6869302
0.2250000     0.1584424
0.2050000     0.1623647
0.0630000     -0.0520721
0.0330000     -0.1038282
0.3180000     0.3147249
0.4510000     0.4751486
0.7290000     0.7991673
0.2910000     0.2494141
0.0200000     -0.1304582
0.7610000     0.8276189
0.0200000     -0.1298309
0.7030000     0.7486380
0.2070000     0.1622164
0.2900000     0.2801352
0.5350000     0.5561506
0.6990000     0.7565446
0.1500000     0.0859728
0.2820000     0.2503334
0.6890000     0.7490814
0.4560000     0.4502861
0.0200000     -0.1276987
0.5240000     0.5363031
0.3760000     0.3669320
0.0200000     -0.1220052
0.4230000     0.4107923
0.2180000     0.1854648
0.2960000     0.2529076
0.3970000     0.4021047
0.5940000     0.6333350
0.5750000     0.6002938
0.1700000     0.1081318
0.4770000     0.5017202
0.6320000     0.6734113
0.0510000     -0.0672285
0.6010000     0.6422377
0.5810000     0.6173245
0.6320000     0.6723815
0.7000000     0.7657276
0.4950000     0.5161399
0.0800000     0.0007428
0.8010000     0.8826424
0.8010000     0.8984922
0.6960000     0.7472552
0.6900000     0.7524884
0.2190000     0.1731181
0.0680000     -0.0450492
0.4440000     0.4443341
0.8090000     0.8964086
0.0200000     -0.1132898
0.6010000     0.6377224
0.8270000     0.9147274
0.7910000     0.8765298
0.7190000     0.7780389
0.5270000     0.5516818
0.2220000     0.1963960
0.5770000     0.5993895
0.5810000     0.6043517
0.7800000     0.8583600
0.3050000     0.2871453
0.0850000     -0.0187901
0.0200000     -0.1207975
0.2130000     0.1672377
0.7330000     0.8047726
0.4600000     0.4527149
0.1270000     0.0402366
0.6390000     0.6829612
0.2800000     0.2326925
0.5860000     0.6167620
0.3290000     0.3153170
0.5320000     0.5385567
0.0400000     -0.0553943
0.2530000     0.2149515
0.3830000     0.3869348
0.7460000     0.8192565
0.7480000     0.8158326
0.0690000     -0.0310909
0.3910000     0.3751720
0.2670000     0.2405351
0.2320000     0.2022645
0.7400000     0.8028510
0.1350000     0.0600770
0.7600000     0.8374389
0.0710000     -0.0370235
0.6020000     0.6386411
0.0700000     -0.0402184
0.2120000     0.1859848
0.9890000     1.1112795
0.5300000     0.5330285
0.7220000     0.7792639
0.2610000     0.2199665
0.5060000     0.5105169
0.0300000     -0.1028119
0.4670000     0.4751519
0.3510000     0.3595340
0.5650000     0.5827937
0.0300000     -0.1167442
